0,1,10,11,recall,far,precision,accuracy,F1 Score,aod,eod,SPD,DI
0.3,0.3,0.2,0.2,0.36,0.16,0.73,0.58,0.48,0.02,0.08,0.08,0.25
0.3,0.3,0.3,0.1,0.43,0.26,0.66,0.57,0.52,-0.05,-0.38,0.32,-2.34
0.3,0.4,0.1,0.2,0.17,0.06,0.77,0.53,0.28,0.05,0.21,0.17,0.73
0.3,0.4,0.2,0.1,0.26,0.14,0.69,0.54,0.38,-0.04,-0.24,0.19,-2.29
0.3,0.5,0.1,0.1,0.08,0.03,0.78,0.49,0.15,-0.04,-0.12,0.08,#NAME?
0.4,0.1,0.1,0.4,0.42,0.3,0.62,0.55,0.5,-0.02,0.93,0.95,0.95
0.4,0.1,0.2,0.3,0.54,0.33,0.66,0.6,0.59,-0.05,0.66,0.72,0.78
0.4,0.1,0.3,0.2,0.6,0.34,0.67,0.62,0.63,-0.02,0.45,0.49,0.61
0.4,0.1,0.4,0.1,0.65,0.38,0.67,0.64,0.66,0.02,-0.06,0.04,-0.09
0.4,0.2,0.1,0.3,0.36,0.17,0.71,0.58,0.48,0.11,0.79,0.71,0.95
0.4,0.2,0.2,0.2,0.41,0.17,0.74,0.6,0.53,0.06,0.35,0.32,0.63
0.4,0.2,0.3,0.1,0.38,0.19,0.71,0.58,0.5,-0.02,-0.12,0.08,-0.34
0.4,0.3,0.1,0.2,0.2,0.07,0.77,0.53,0.32,0.1,0.33,0.26,0.84
0.4,0.3,0.2,0.1,0.25,0.09,0.76,0.55,0.38,-0.01,-0.08,0.05,-0.39
0.4,0.4,0.1,0.1,0.05,0.01,0.88,0.48,0.09,0,0.01,0.01,0.19
0.5,0.1,0.1,0.3,0.38,0.28,0.62,0.54,0.47,0,0.99,0.99,1
0.5,0.1,0.2,0.2,0.46,0.24,0.69,0.6,0.55,0.03,0.68,0.68,0.84
0.5,0.1,0.3,0.1,0.44,0.19,0.73,0.61,0.55,0.06,0.28,0.26,0.52
0.5,0.2,0.1,0.2,0.26,0.09,0.77,0.56,0.39,0.13,0.57,0.47,0.95
0.5,0.2,0.2,0.1,0.24,0.08,0.77,0.55,0.37,0.02,0.11,0.11,0.45
0.5,0.3,0.1,0.1,0.07,0.01,0.86,0.49,0.13,0.02,0.07,0.05,0.67
0.6,0.1,0.1,0.2,0.34,0.19,0.67,0.55,0.45,0.09,0.87,0.8,0.99
0.6,0.1,0.2,0.1,0.35,0.13,0.76,0.59,0.48,0.08,0.42,0.37,0.74
0.6,0.2,0.1,0.1,0.12,0.04,0.79,0.51,0.21,0.08,0.3,0.23,0.99
0.7,0.1,0.1,0.1,0.24,0.09,0.76,0.55,0.36,0.15,0.61,0.5,0.99
